	caption
12457	A German Shephard carries a small log in the water .
12458	Dog is swimming through water with a piece of wood in its mouth .
12459	German Shepherd retrieving large stick from water
12460	A child flips on a trampoline .
12461	A child jumps upside down on a trampoline .
12462	A girl bounces upside down on her head on a trampoline .
12463	A girl is bouncing on her head on a trampoline .
12464	A girl is upside-down on a trampoline and you can see her navel .
12465	Two guys stand outside of a building that has been spray painted with words .
12466	Two men stand near a wall that has writing painted on it .
12467	Two young men drink beer , leaning on a graffitied wall .
12468	Two young men in black jackets hanging out by a graffitied wall
12469	Two young men in jeans and dark jackets standing in front of a building .
12470	a little baby skateboarding on a small concrete wall
12471	A little boy skateboards on a cement ramp .
12472	A young child wearing a blue helmet rides a skateboard over a ramp .
12473	A young skateboarder on a ramp .
12474	The little boy in the green jacket is riding a skateboard on a ramp .
12475	A brown dog , on a rocky ground , shakes off water from its body .
12476	A dog shaking off water .
12477	A dog shaking water off .
12478	A golden retriever is shaking off some water
12479	A tan dog shaking the water off of himself
12480	A middle eastern woman wearing a blue headscarf sits next to a boy in blue clothes .
12481	A woman and a boy are both wearing blue traditional Arab clothes
12482	A woman and young man kneel beside a wall while dressed in blue themed clothing .
12483	A woman in a headscarf and a boy wearing blue look to the right while sitting against a wall .
12484	A woman wearing a scarf on her head sits next to a young boy wearing blue .
12485	A black dog sits by two bowls near some tile steps .
12486	a black dog sits on the floor .
12487	A dog lies on the steps outside a building .
12488	Two dogs are looking up at a person .
12489	Two dogs look up at a person out of view of the camera .
12490	Two brown dogs playfully chase a red and white soccer ball .
12491	Two dogs are playing with a red and white ball
12492	Two small dogs chasing a red striped ball .
12493	Two small dogs playing in a grassy area with a large white and red striped ball .
12494	Two small dogs playing with a volleyball
12495	A boy sits on a tree stump .
12496	A boy sits on the tall fence post and smiles .
12497	A boy sitting on a stump .
12498	A child sits on top of a large tree stump .
12499	A small boy in sandals sits on a wooden post in a field .
12500	A dark-headed boy is eating a large red Popsicle .
12501	A little boy is eating a red Popsicle .
12502	Dark haired child eating a frozen treat .
12503	Little boy eating a red Popsicle .
12504	The wide eyed little boy is eating a red Popsicle .
12505	A child plays with a toy on a playground .
12506	A small child is wearing a blue outfit with blue shoes .
12507	A toddler plays on a playground .
12508	A young child is playing with a stick at a playground .
12509	There is a toddler playing on a playground .
12510	A brown dog smelling a grey dog 's tail .
12511	Two dogs are smelling each other .
12512	two dogs in the middle of a heavily wooded forest
12513	Two dogs standing in the woods .
12514	two medium size dogs smiff each others behinds .
12515	A little girl in a pink and white ski suit and red helmet skies sideways on the snow covered slope .
12516	Child in pink and white skying down a slope .
12517	Little girl skis on slope .
12518	Person in pink skis wearing skis on a slope .
12519	Young skier in a pink ski-suit is on the side of a snowy hill
12520	A black and white dog bounds through a field .
12521	A black and white dog bounds through tall wheat grass .
12522	A black and white dog is running through the grass .
12523	A white and black dog leaps through long grass in a field .
12524	The dog is running through a field .
12525	A black and tan Doberman dog is jumping through some water .
12526	A dog jumping through the water at a lake
12527	Black dog with black and tan face running through water .
12528	Doberman leaping through the water .
12529	The doberman pincer is leaping through the water .
12530	A girl in a white dress .
12531	A little girl in white is looking back at the camera while carrying a water grenade .
12532	A smiling young girl in braids is playing ball .
12533	A young girl wearing white looks at the camera as she plays .
12534	The girl is holding a green ball .
12535	an Asian girl carrying a pink bag is walking away down a busy city street .
12536	A woman wearing black boots and a skirt walks down the sidewalk .
12537	A woman with a pink purse walks down a crowded sidewalk .
12538	A young woman in a black skirt and boots walks by stores .
12539	Girl wearing a mini dress and long sleve white jacket with a pink bag walking through a crowded area .
12540	The two small dogs run through the grass .
12541	Two fluffy white dogs running in green grass .
12542	Two small dogs run through the grass .
12543	Two small dogs that look almost identical are playing in the grass .
12544	Two yellow dogs run together in green grass .
12545	Two little boys in tuxedos .
12546	Two small boys dressed in tuxedos sitting on a red carpeted floor .
12547	Two young boys dressed in formal clothes fight while sitting on a red carpeted step .
12548	Two young boys in suits wrestle .
12549	Well dressed children play on the carpet .
12550	A big brown dog jumps into a swimming pool on the backyard .
12551	A dog in mid-leap into a pool .
12552	Brown dog jumping into the pool
12553	The brown dog is jumping into the crystal-clear pool .
12554	The large brown dog is jumping into a swimming pool .
12555	A little girl eating two cookies .
12556	A little girl with blonde hair and blue eyes is eating cookies .
12557	A young girl with blond hair and blue eyes is eating a cookie with one hand while holding another cookie in the other .
12558	Little girl with blue eyes eating cookies .
12559	Young girl with blue eyes eating a cookie .
12560	A border collie jumps over a bed with a tennis ball in its mouth .
12561	A dog jumping with a ball in its mouth .
12562	A dog jumps on a bed and catches a green toy .
12563	Border collie jumps in the air and catches a tennis ball .
12564	The black and white dog jumps with a tennis ball in its mouth .
12565	A woman is holding a white satchel that is full of dollar bills .
12566	"A woman poses with sunglasses shaped like dollar signs and a silver suitcase labelled "" LUCKY "" full of bills ."
12567	A woman wearing a money themed costume stands on the street .
12568	A woman wearing a suitcase full of money .
12569	"A woman wearing dollar sign glasses , holding a dollar bill , stands with a suitcase that says "" Lucky "" that is overflowing with cash ."
12570	A man in a red jacket stands near a yellow kayak .
12571	a man in a red jacket stands next to a yellow kayak on rocks by the ocean .
12572	A man pulls on his sweater as a kayak lays at his feet .
12573	A man wearing a red jacket standing beside a yellow canoe on some rocks with water in the background
12574	A man wearing a red jacket stands on the shore of a lake with a yellow kayak .
12575	A girl smiles while riding on the back of a cart in a grocery store .
12576	A little girl is riding on the front of a shopping cart in a store .
12577	A little girl wearing blue is riding the end of a shopping cart in a grocery store .
12578	A young girl with a front tooth missing dressed in a plaid skirt and blue shirt riding on a shopping cart in a grocery store .
12579	Girl with brown hair in a blue shirt and blue and white skirt holding on to a shopping cart in a store .
12580	A blond Caucasian woman in a blue shirt wearing a straw hat .
12581	A long haired woman is wearing a grass cowboy hat and a stripped shirt .
12582	A woman in a blue and white shirt is wearing a cowboy hat .
12583	A woman wearing a hat .
12584	Woman in a blue and white striped shirt with a straw cowboy hat on .
12585	A blond woman in sunglasses and hat talks on a cellphone .
12586	a lady with a baseball cap on talking on he cellphone
12587	A woman talks on the phone at a stadium .
12588	A young blonde woman wearing a hat and sunglasses talks on her cellphone .
12589	woman with dark glasses and ball cap talking on a cellphone
12590	A toddler is sitting inside a yellow tunnel in the playground .
12591	A young boy plays in a yellow tunnel on a playground .
12592	Boy in yellow shirt sitting in yellow playground slide
12593	The little boy in the yellow tunnel is wearing a yellow shirt .
12594	The young child prepares to go down the slide .
12595	A boy going down a water slide .
12596	A boy in green trunks slides down a water slide .
12597	A boy slides down an inflatable water slide .
12598	A child reaches the bottom of an inflatable slide .
12599	A young boy smiling as he rides down an inflatable water slide .
12600	A girl in a brown dress is moving through the green grass by a metal fence .
12601	A little girl in a dress jumping in a backyard .
12602	a little girl jumps up in her brown dress .
12603	A woman in a black dress jumps on the grass .
12604	The girl in a dress is jumping in the air outside .
12605	A black and white dog with a red Frisbee standing on a sandy beach .
12606	A dog drops a red disc on a beach .
12607	A dog with a red Frisbee flying in the air .
12608	Dog catching a red Frisbee .
12609	The black dog is dropping a red disc on a beach .
12610	A girl in a red shirt takes a picture on a phone .
12611	A woman in a low cut shirt takes a picture with her cellphone .
12612	A woman in a red shirt holding a cellphone .
12613	A woman taking pictures with her phone .
12614	The girl in sunglasses holds up her phone to take a picture of something .
12615	A child with a yellow cup and milk all over his face .
12616	A little boy drinks milk and gets milk all over his face and table .
12617	a little boy spilled his milk from the green cup .
12618	Small laughing child with blond hair sitting at a table holding a green sippy cup .
12619	Toddler with milk around his mouth .
12620	A man at the top of rocks , clouds behind .
12621	A man stands on top of a rocky hill .
12622	A man stands on top of a rocky mountain .
12623	A person standing on top of some rocks with the sky behind .
12624	A person stands on a mountaintop .
12625	A boy in an open Hawaiian shirt is making the Longhorns symbol with his hand .
12626	A boy wearing a flowered shirt raises his arm and jumps .
12627	A child in Hawaiian clothing jumps and poses in a low cut yard nearby a fence and building .
12628	A child jumping in the air with his or her shirt flying open .
12629	The boy with his shirt undone is stretching his arm in the air .
12630	A boy hiding behind a tree
12631	A boy in a striped t-shirt is standing by a tree in front of the picnic tables .
12632	A little boy in a striped shirt is standing behind a tree .
12633	A young boy in a striped shirt is leaning against a tree while another child sits at a picnic table .
12634	Two boys in a park , one standing near a tree and one sitting at a picnic table with the playground behind them .
12635	A boy is jumping forwards down a water slide .
12636	a boy jumps onto a inflatable water slide
12637	A boy on a water slide
12638	A boy wearing a blue swimsuit begins to slide down a water slide .
12639	A person in swim trunks jumping down an inflatable slide
12640	A little blonde toddler is wading in a baby pool .
12641	A young boy in a pool
12642	A young boy playing in a swimming pool
12643	A young boy with blond hair is in a swimming pool .
12644	The little boy is coming out of the water in a swimming pool .
12645	A child puts dirt into his mouth .
12646	A little boy who is playing outdoors is tasting dirt .
12647	A small child squats and puts dirt into his mouth .
12648	A toddler eats dirt .
12649	The little boy wearing the blue shirt is putting dirt in his mouth .
12650	A group of girls are waiting outside of a potty-potty .
12651	Six people standing behind a fence .
12652	Six women standing in a field awaiting their turn at a port-a-potty .
12653	Six women wait to use a port-o-john in a field .
12654	Women standing outside to use the potty .
12655	A young girl in red is jumping over a bent over child for a children ' game .
12656	Children are playing leapfrog in front of a fountain
12657	Children playing leapfrog .
12658	Children playing leapfrog beside fountain .
12659	Six children near a water fountain .
12660	A child is leaping from one bed to another in the same room .
12661	A little blonde boy jumps from one bed to another .
12662	A small blonde child jumping from one bed to another .
12663	A small boy leaps from one bed to another .
12664	A young blonde boy is jumping from bed to bed .
12665	A woman is clapping her hands while running in front of a running brown dog .
12666	A woman leads a small dog through an agility competition .
12667	The little red dog is running a course in front of blue tents .
12668	Woman leading her small dog through an obstacle course .
12669	Woman on grass playing with small dog .
12670	A boy swings a plastic bat .
12671	A little blonde boy in a Winnie the Pool t-shirt holds up a red plastic bat .
12672	A little boy holds a bat in the air waiting on the ball .
12673	A little boy in a Winnie the Pooh T-shirt is waiting to swing his red bat .
12674	A small child swings back a red baseball bat .
12675	A woman in a blue tank top and shorts is jogging down an asphalt road .
12676	A woman jogging up a hill with a scenic view behing her
12677	A woman in a purple top and white cap jogging down the road .
12678	Person in blue top and shorts wearing a cap standing on a road with mountain with trees in the background .
12679	The woman in the white hat and blue shorts is jogging in the bicycle lane on a mountain road .
12680	A man walking a tightrope , low to the ground , between two trees .
12681	a man walks across the tightrope .
12682	A man walks on a low tightrope under a tree .
12683	A young man is walking across a suspended rope at night .
12684	A young man walks a tightrope tied to a tree at night .
12685	a man is talking on a cellphone outside of a bar .
12686	A man standing in front of Dale Jr. posters with red light
12687	A man talks on a cellphone , while standing in front of a Dale Earnhardt , Jr. , display .
12688	Man on the phone in front of a neon sign
12689	The man is talking on his cellphone in front of a sports store .
12690	A brown and white greyhound wearing a red number five is caught in midair racing .
12691	A greyhound with the number 5 on it is running along a dirt racing track .
12692	A muzzled animal jumps over a metal bar and splashes through the mud .
12693	a muzzled greyhound wearing the number five is running on a dog track .
12694	Dog with muzzle and sweater marked 5 runs on dirt track .
12695	A woman in yellow , jogging .
12696	A woman is jogging on a road by a shoreline , holding an item up in the air .
12697	A woman jogs down the rode near a rocky shore .
12698	A woman passing by the shore .
12699	The woman in the yellow shirt jogged along the coastline .
12700	A girl laying on a sidewalk .
12701	a girl lays on her driveway .
12702	A girl lays on the sidewalk with her arms and face in the grass .
12703	A little girl lays on the sidewalk with her face in the grass .
12704	The little girl is laying on the sidewalk .
12705	A group of children in a church basement play maracas and tambourines .
12706	A group of children play tambourines .
12707	a group of young children performing song and playing instruments .
12708	Six children in a row with small musical instruments .
12709	Six children playing musical instruments and singing in what appears to be a church .
12710	Two guys are posing next to each other on the steps of a building with traffic behind them .
12711	Two men are sitting on steps in front of a city building .
12712	Two men pose at the bottom of a set of steps in a metropolitain area .
12713	Two men sit together beside stone steps in an urban setting .
12714	Two men sit together on a set of steps outside near a street ,
12715	A black dog is walking along the side of a pool .
12716	A black dog runs around an outdoor swimming pool .
12717	A black dog walking beside a pool .
12718	A black poodle walks on the edge of a pool .
12719	A fluffy blank poodle is walking on the edge of a pool .
12720	A boy smiles and swims in blue water .
12721	A boy smiles while he swims .
12722	a boy swims in the pool .
12723	A smiling boy swims , with only his head above the water .
12724	A smiling child swims .
12725	A gas station and a car on fire .
12726	A large explosion occured near a red car at a gas station .
12727	A red car is caught in an explosion .
12728	a red car is leaping through a ball of fire .
12729	Flames at gas pumps engulf a red car .
12730	A man is riding a powered para-glider in the air at sunset .
12731	An individual is floating in the air with a parachute .
12732	A person in the sky connected to a fan .
12733	Parachuter in midair .
12734	Person hang gliding at sunset .
12735	A fan operated vehicle with a yellow parachute is landing .
12736	A flying machine with a yellow sail is landing with industrial buildings in the background .
12737	A man in the air in a four-wheeled cart attached to a parachute with smokestacks on the sun-setting horizon .
12738	Man parasails at night
12739	Person landing a yellow hanglider .
12740	A child and her mother are playing ball in a park .
12741	A little girl with a hat playing ball with her mom .
12742	A young asian girl with a woman plays with a blue ball in a part setting .
12743	A young woman and her daughter play with a blue and white beach ball in the grass .
12744	Girl with tan dress and a hat with woman in a grey top with blue ball on ground .
12745	Two men are standing on a path in front of a white building .
12746	Two men stand close to each other in front of a building with many balconies .
12747	two men stand in front of a large building .
12748	Two men standing in front of a condominium building with grass and trees around .
12749	Two men stand on a sidewalk in front of a tropical hotel .
12750	A brown dog running
12751	A brown dog running over grass .
12752	A brown dog with its front paws off the ground on a grassy surface near red and purple flowers .
12753	A dog runs across a grassy lawn near some flowers .
12754	A yellow dog is playing in a grassy area near flowers .
12755	A kid in purple is doing a skateboard trick .
12756	A man in a purple shirt attempts tricks with a skateboard inside a heavily graffiti painted area .
12757	A man in a purple shirt is skateboarding in a graffiti-heavy area .
12758	A person grinding a ledge on a skateboard .
12759	A person wearing a blue hat rides a skateboard off of a cement bench .
12760	A woman is pointing while others are taking pictures .
12761	A woman points to the left as she and others look that way .
12762	The woman in the black shirt is pointing in front of her with a cement wall in front of her .
12763	They are sitting on the edge of a fountain
12764	Woman pointing while others take pictures of something
12765	A dog chews on a toy on a blue blanket .
12766	A dog is laying on a blue rug , chewing and making a mess .
12767	A gray dog chewing on a toy .
12768	A grey dog with blue eyes laying on a bright blue carpet while chewing on something .
12769	The gray , blue eyed hound puppy is laying on a blue carpet chewing on a toy .
12770	A man in sunglasses and a neatly trimmed beard overlooks a woody valley .
12771	a man posing with large grassy mountains off in the distance .
12772	A man wearing sunglasses stands before a forested landscape .
12773	A man with a beard and sunglasses is standing in front of tree-covered hills .
12774	Bearded man with sunglasses in the mountains .
12775	A boy leaping on to a slip and slide with his friends watching in the background .
12776	A boy playing outside on a slip and slide .
12777	A young boy dives onto a water toy .
12778	A young boy leaps onto a water toy while five people look on .
12779	The young boy is enjoying himself playing on the water toys .
12780	A girl is about to hit a tennis ball coming from above her with a racket
12781	A little girl is playing tennis on an outdoor court .
12782	A young girl in a red shirt hitting a tennis ball with a pink racket
12783	A young girl is about to attempt to hit a tennis ball .
12784	The tennis player in the red shirt is trying to hit the ball .
12785	A little dog is sitting on a person 's bent leg .
12786	A person stands with a small dog balancing on their leg .
12787	a person with a small dog caught in her legs
12788	A woman carrying a small black dog between her legs .
12789	The person is walking with a small black and white dog .
12790	A man talks on his cellphone while he walks down the street .
12791	A member of the clergy carries a blue bag in his hand and talks on the phone as he walks .
12792	A priest carrying a small blue bag walking down the street talking on a cellphone .
12793	Priest in black walking on sidewalk carrying a blue bag and talking on cellphone .
12794	Priest walking with blue bag while talking on cellphone .
12795	A shirtless dark haired boy in gray shorts is running .
12796	a skinny young man running with no shirt on
12797	a small boy in blue shorts running down a sidewalk with flowers in the background
12798	A small boy , wearing shorts and no shirt , is running outdoors .
12799	The boy who is walking is wearing grey shorts and no shirt .
12800	A cowboy covers his head as a jumping horse tramples him .
12801	A man in a cowboy hat being stepped on by a brown horse
12802	A rider has fallen off a horse and is shielding himself from being trampled
12803	Man with white cowboy hat on the ground behind a brown horse with both front legs off the ground .
12804	Whoa ! The cowboy is underneath the hoofs of the brown horse and is getting stepped on .
12805	a baby wearing a blue bandanna is playing with a set of colored rings .
12806	A child in a blue scarf and a tan outfit plays with plastic toys on a rug nearby a soft chair .
12807	A toddler in a blue bandanna playing with a set of rings on a stick .
12808	A toddler with a blue scarf wrapped on his head plays with a wooden toy .
12809	The little boy is wearing a blue bandanna .
12810	A kayak on the river is passing by a wire bridge that joins both banks .
12811	Some people ride their kayaks down the river .
12812	two conoes float down the river .
12813	Two groups are canoeing on a river overlooking a mountain .
12814	Two people rafting down a river , a footbridge in the background .
12815	People are boating near a mountain .
12816	Two people in a canoe are rowing past a large , tree-covered mountain .
12817	Two people in a canoe float past a rocky , wooded cliff .
12818	Two people in a canoe on a river beside a forested mountain .
12819	Two people in a kayak are paddling past green foliage on a river .
12820	A person and a dog run on a paved road near a forest .
12821	A person runs with a dog .
12822	A person jogs down a gravel road after a small dog .
12823	A woman and dog running down an asphalt , tree lined road .
12824	Someone in a green shirt running behind a small dog .
12825	A girl jumps over water at the beach .
12826	a lone person wearing a purple tank top running on the shore at the beach
12827	A woman leaps across the beach .
12828	The woman is wearing a purple shirt and runs on the beach .
12829	Woman on beach , running from water to trees .
12830	A brown dog and a red dog frolicking on the waters edge on the beach .
12831	two brown dogs are running on the beach beside the ocean .
12832	Two brown dogs chase and playfully fight with each other on the sandy beach .
12833	Two brown dogs play on the sand by the water .
12834	Two dogs running down a beach .
12835	A boy is jumping on the grass whist other children are standing around .
12836	A group of children outside a building includes a boy jumping in the grass .
12837	A group of kids are standing outside together .
12838	Some children stand outside a building .
12839	There is a boy in blue shorts and a blue shirt jumping in the grass .
12840	A boy in a red and white shirt kicks a large baseball while surrounded by people .
12841	A boy kicks a giant baseball while a group of children watch .
12842	A boy kicks a really large baseball
12843	A kid kicking a large ball while surrounded by other kids .
12844	Children are outside playing with an oversized baseball .
12845	A girl is feeding a camel
12846	A little girl feeds a
12847	A little girl in a purple t-shirt feeds an animal .
12848	A young girl feeding a camel .
12849	The girl is at a petting zoo and feeding a camel .
12850	A baby girl wearing a pink jacket climbs wooden steps .
12851	A small child climbs stairs at a beach .
12852	A small child climbs steps outdoors in a grassy area .
12853	A small child in a pink hoodie ascending tall stairs outdoors .
12854	A small child in a pink sweater begins to climb a concrete staircase .
12855	A boy is making a splash in a swimming pool .
12856	A child is splashed by water in an indoor swimming pool .
12857	A little boy is jumping out of the pool .
12858	A redheaded boy has just come up from under the water in a pool .
12859	A young boy playing in a swimming pool .
12860	two girls are standing in front of a car that is advertising Red Bull .
12861	Two ladies pose in front of the Red Bull Energy Drink vehicle .
12862	Two women posing next to the Redbull car .
12863	Two women standing beside a silver and blue car with a Redbull logo and a giant Redbull can on it .
12864	Two young women stand by a Red Bull car .
12865	A GI relaxes and waits at an airport .
12866	A man dressed in military uniform sits down and looks through some papers .
12867	A man in army fatigues is reading something while laying on the floor .
12868	A soldier is looking out of a window .
12869	The soldier looks out the window as he sits with his legs crossed .
12870	A crowd begins to march in a small downtown setting .
12871	a group of people holding signs and marching through the streets .
12872	A group of people with signs and banners walking down the street
12873	a protest march is crossing the intersection of two streets near to a building with red awnings .
12874	Many people hold signs and march down the street .
12875	A float representing the times of hanging is shown in the back of a truck .
12876	A man in a judge costume stand on a red truck and hangs a dummy .
12877	Man dressed as a judge pretending to hang another man on top of a truck .
12878	Three people in costumes stand on the back of a pickup truck .
12879	Three people stand on the back of a truck .
12880	A dog chasing a ball indoors .
12881	A small dog catches a tennis ball indoors .
12882	A small dog chasing a ball .
12883	The little white and brown dog has his mouth wide open while trying to catch something .
12884	The small dog is baring his teeth and chasing an object .
12885	A boy in shorts stands , arms outstreched , on a roadway .
12886	A child cavorts on the road .
12887	A child in white shorts and a blue shirt is standing in the street .
12888	a young boy wearing a hat dancing in the street
12889	Small boy is eating a lollipop and dancing in the street .
12890	A boy in a green shirt is sitting in an almost empty stadium .
12891	A green shirted man sits among the many unoccupied red seats .
12892	A man wearing a green numbered shirt is sitting in a stadium .
12893	A photo of an arena with very few people in the stands .
12894	Man with SANTANA 57 shirt sits in sparsely occupied seating area .
12895	A baseball hitter holding a bat falling down .
12896	A baseball player runs on the field .
12897	A boy at bat playing a baseball game falls to the ground while onlookers watch .
12898	A child in a uniform is falling to the ground with a bat in his or her hand .
12899	This baseball player , dressed in red and white uniform and holding a bat , is falling after being hit by a pitch .
12900	A close-up shot of a long haired man playing a red electric guitar .
12901	A man rocks out onstage with his guitar .
12902	A man with long blonde hair playing a red guitar
12903	Man with long blond hair playing red electric guitar .
12904	Person with blonde flyaway hair playing guitar
12905	A father pushes his daughters go-kart while another girl watches
12906	A girl riding in a toy car with a man behind her
12907	A man pushes a child in a blue car while another child looks on .
12908	The little girl is driving the small blue car .
12909	Two small children play with a toy riding car in the street with a grown up .
12910	A dog emerges form the water with a stick in its mouth .
12911	A dog in a harness holds a stick in his mouth while standing in the water .
12912	A dog retrieves a stick from a body of water .
12913	A white dog holds a stick in its mouth as it comes out of the water .
12914	The white dog is standing in the water with a stick in its mouth .
12915	A man doing a karate kick on a block of ice .
12916	A man karate kicks a stack of ice bricks .
12917	A martial artist breaks a brick .
12918	A martial artist breaks ice with a kick .
12919	The man breaking the ice with his foot stands on a blue mat .
12920	A man is laying down on grass near trees and a hose .
12921	A man is lying the grass with long hair and beard .
12922	A person lays in the grass .
12923	A person lies in a grassy area near a building .
12924	one man lying of the ground in the grass surrounded by trees .
12925	A black and white dog chasing a tan and white dog across a path .
12926	A dog runs behind another at a park .
12927	two dogs are running across a grassy path .
12928	Two dogs are running quickly through a park .
12929	Two dogs run through the park .
12930	There are two women tanning in bikinis .
12931	Two people sunbathe beside water .
12932	Two women are laying on a concrete structure beside the ocean .
12933	Two women sunbathe by the water .
12934	Two women sunbathe on a concrete terrace .
12935	A man eyes the ground as he comes in for a landing from parasailing .
12936	A man hanging just above the ground .
12937	A man is holding onto handles in the air .
12938	A man is in the desert a few feet off the ground holding onto strings of a parachute .
12939	A parachuting man gets ready to land .
12940	A man bracing himself against the pull of a large kite .
12941	a man holds his parachute .
12942	Man trying to guide a kit in the desert .
12943	The man crouched down as he held onto the parachute that was caught in the breeze .
12944	The man slides in the sand while holding on to his hang glider .
12945	A girl begins to wade through deep grass that covers a stone structure on a coastline .
12946	A girl is walking on a sandy path .
12947	A small girl playing in a park .
12948	A young girl in a white cap is walking through an area with trees .
12949	A young girl with a read shirt and a white hat playing among the foliage .
12950	A man in a yellow coat tends a fire , a boy in a parka watches .
12951	a person cooking on a fire while a small child watches .
12952	A person holds a frying pan over an open fire as a child watches .
12953	The adult cooks over the fire as the child looks on .
12954	The man in the yellow jacket is cooking over an open fire as the little boy watches .
12955	A girl in pink pants running , an ornate Spanish ruin in the background .
12956	The girl dressed in purple walks through the alley , followed by a girl in pink .
12957	Two children within the ruins of a building .
12958	Two girls , one running away from the wall .
12959	Two little girls play around an old abandoned building .
12960	a brown dog nursing
12961	A dog breastfeeding .
12962	A mother dog giving her puppy some milk .
12963	A puppy is nursing from its mother .
12964	A young puppy suckles from his mother .
12965	A dog leaps on the beach .
12966	A playful dog is jumping on the sand .
12967	Brown dog is leaping up into the air .
12968	The collared dog is jumping into the air .
12969	There is a brown dog leaping on the beach .
12970	a closeup picture of a girl with long black hair and one hand raised in the air .
12971	A lady with dark hair dressed in red clothing with left arm in the air .
12972	A woman in a red shirt with her arm raised .
12973	A woman in a red sweater raises her hand in a crowd .
12974	a woman raises her hand .
12975	A child is holding a colorful object and overlooking a crowd of people while sitting on the shoulders of an older person .
12976	A girl in a blue sweater sits on a person 's shoulders and carries a pinwheel .
12977	A girls in a blue shirt holds a flower while sitting on a man 's shoulders .
12978	A young oriential girl is standing above the crowd playing with a pinwheel
12979	Girl in blue sweater and holding a multicolor toy sitting on the shoulders of a man with grey hair .
12980	A child in an orange shirt with a book .
12981	A young asian boy in a orange long-sleeved t-shirt holds a magazine .
12982	A young boy is holding a book .
12983	The boy wearing an orange sweater is carrying a book .
12984	There is a child wearing an orange shirt and hold an orange book .
12985	A baby crawls on a wood floor near a bottle of water .
12986	A baby crawls on hardwood floors towards a water bottle .
12987	A baby on a wood floor with a water bottle
12988	An infant is crawling on a wood floor , with a water bottle laying nearby .
12989	A young baby crawls across the wood floor towards the water bottle .
12990	A small boy in blue crawls along a window sill .
12991	A small child crawling on a windowsill .
12992	Little boy with blue shirt crawls across vents near large glass windows .
12993	The little boy crawls around next to the large glass windows .
12994	This picture shows a boy in a blue shirt leaning his head against a window with lots of beautiful clowds outside .
12995	A green Volkswagen Bug and other vintage cars are admired by people in a courtyard .
12996	A lime green VW bug .
12997	Cars and people gathered in a city mall area .
12998	In this plaza , we see a green VW beetle , a white sports coupe and many people looking at the autos .
12999	The courtyard of a South American city with a crowd and vintage cars .
13000	A group of children climbing on a statue of a bear .
13001	Four children playing on a sculpture of a bear .
13002	Four kids are climbing on a fake black bear .
13003	Four young children playing on a stone bear with people in the background .
13004	Several children climbing on a bear statue .
13005	A child in a blue shirt sitting on a forest floor , looking through binoculars .
13006	A child sits in the woods looking up with binoculars .
13007	A girl sitting on the ground in the forest looking through binoculars .
13008	A young girl sits on the forest floor and looks up through binoculars .
13009	The woman with binoculars is sitting on the forest floor looking up .
13010	A little girl in a bathing suit leaps up in the water .
13011	A little girl wearing a black tankini is jumping in the air with water in the background .
13012	A young girl in a swimming suit jumps into a body of water .
13013	A young girl jumping out of the water
13014	The girl in the bathing suit is poised in midair next to the blue water .
13015	a black puppy jumping on the back of a white puppy
13016	A black dog and a white dog wrestle .
13017	A black dog and a white dog wrestling next to a food dish .
13018	A black puppy stands over a white puppy .
13019	A small black dog is standing over a small white dog laying on his side .
13020	A climber walks along a snowy peak .
13021	A man climbs over snow covered rocks by a shore .
13022	A man is standing on a snowcapped mountain .
13023	A person hikes down a snowy mountain .
13024	There man on top of an snow covered mountain with a lake behind him .
13025	Several brown dogs playing with a tennis ball in a grassy field .
13026	Three brown dogs chase a tennis ball .
13027	Three dogs are playing outside with a tennis ball .
13028	Three dogs play with a ball on a field .
13029	Three tan dogs run after a tennis ball .
13030	A boy smiles at the camera .
13031	A little boy is smiling and playing in a playground .
13032	A little boy playing on the monkey bars .
13033	A young boy smiles as he hangs from monkey bars .
13034	A young boy smiles as he hangs onto bars at the playground .
13035	Three children run by the water .
13036	Three children running down a sidewalk next to a river .
13037	Three children run on a sidewalk with a river on one side and a wall on the other .
13038	Three children run on the walkway by the river .
13039	Three kids , one holding a closed umbrella , run around on a sidewalk next to a river .
13040	A black dog runs paralell to a wire fence in a grassy medow .
13041	A brown dog is running along a grassy stretch divided by strings .
13042	A dog runs past an empty chair and a tripod , between stretched strings , marking a path through a grassy field .
13043	A dog with all fours up in the air above the clover-filled grass .
13044	The gray dog is running on a green field .
13045	A black dog is running through the grass carrying something red in its mouth .
13046	A dog holds an orange rag in his mouth while running .
13047	A dog running with a red item in its mouth .
13048	Black dog running through grass with something orange in its mouth
13049	On garden lawn , black dog is retriving an object .
13050	A young boy poses behind the netting of an enclosed play area while three other children play .
13051	Children playing in a green and blue bounce house .
13052	Children play in the blue and green jumping tent filled with air .
13053	Four children are playing on a bouncy castle .
13054	The little kids all play and jump around inside the inflatable toy .
13055	Two boys are laying in the ocean close to the beach .
13056	two boys playing in dirty water
13057	Two children are playing in deep muddy water .
13058	Two children are rolling in muddy water .
13059	Two muddy boys swim .
13060	A man and woman relaxing in shallow water near a waterfall .
13061	a man and woman sit in the creek .
13062	A woman in a bikini sits in shallow water with a man sitting next to her .
13063	The man and woman are sitting in the water .
13064	Two people sit in a shallow river near the rocks .
13065	A big thin dog runs fast in a field of grass .
13066	A black dog is running through a field of grass and dandilions .
13067	A black Greyhound running in an open field .
13068	A dog runs through a field .
13069	A very thin , black dog running in a field .
13070	A boy eating at a table .
