	caption
7463	four dog in a circle on the grass in the distance and a black dog on the grass in forefront 
7464	the large dog watch the small one play with rope 
7465	a runner jogging on a city street past a samsung advertisement banner 
7466	several girl are in a crowd and one is smiling while the sun shine in her face 
7467	boy flying a distant kite 
7468	the man hold his tent up over his head 
7469	a big  brown dog running through the water
7470	a girl stand up with a glass of beer to make a toast at a couple s wedding 
7471	someone riding a bicycle is up in the air over a dirt and hill trail 
7472	two men holding their arm out from their body 
7473	lady in bright dress are crossing the road 
7474	a female in bluejeans is standing in an enclosed area with arm folded 
7475	a child in a red sweatshirt  jean  and black bike helmet and a dog pose for a picture outdoors 
7476	a boy in a tank top skateboarding 
7477	there are three people on the dock by the boat 
7478	a young girl at a card table selling lemonade and watermelon 
7479	a dog is jumping into a swimming pool after a duck 
7480	a race car driver is holding a trophy 
7481	a young boy smiling with something in his hand
7482	two girl climb on an iceburg climbing device that is floating in water 
7483	a little girl in a pink  floppy hat take a photograph with a big camera 
7484	a white dog with a muzzle trot on grass in front of tree 
7485	a man walk under a bridge and read grafitti that read  where are you  
7486	three people and two snowmobile 
7487	an old woman singing and playing music 
7488	girl in blue sweater and holding a multicolor toy sitting on the shoulder of a man with grey hair 
7489	two tan dog  one larger than the other  interact in a grassy yard enclosed by a wooded fence 
7490	a man stand near a wall and smoke a cigarette 
7491	a child eating food and smiling at the camera 
7492	a group of asian woman in sport attire  and one woman in the center is wearing a baseball cap 
7493	a woman running through a grassy area with a brown and black dog 
7494	a man walking on the sidewalk past storefront 
7495	a man is skating on a rail 
7496	the man ride his bicycle up the brick wall 
7497	a child get ready to swing at a pinata 
7498	two dog run on the grass 
7499	a girl is hanging on the fence watching a horse 
7500	a boy ride his red bicycle down the handrail of a staircase in a city 
7501	a man jet boarding 
7502	two rodeo clown  one young and one an adult  waiting their ques 
7503	a dog jumping up in the air 
7504	a climber wearing a red shirt is climbing a rock face on a snowy day 
7505	a red truck is parked next to a burning blue building while a man in a green vest run toward it 
7506	two people hiking up a snow covered mountain
7507	a vehicle climb on rock near a forest 
7508	a man wearing a red coat is skiing in the snow 
7509	two brown dog are running through the snow 
7510	a young boy playing basketball 
7511	two brownish dog are fighting 
7512	two dog are shaking water off 
7513	two dog play with a man on the beach 
7514	a young asian man is looking at his cellphone 
7515	a brown and white dog is jumping over an obstacle
7516	a brown horse stand near a black horse that is sitting on the ground 
7517	a white dog with a brown patch over his eye run through a grassy field covered in dandelion 
7518	a black dog crossing a stream
7519	a boy sits on a tree stump 
7520	two dog stand in a puddle  and one ha a yellow tennis ball 
7521	a small boy lift a red and blue ball 
7522	two men in hiking boot strike martial art pose 
7523	a young man is wakeboarding on a body of water 
7524	a hockey team take a break off the ice 
7525	two white dog are running together 
7526	the skinny dog with the long tail is traveling through the field 
7527	a young boy splashing an older person with a bottle of water
7528	a dog walk through the snow in the daylight 
7529	man in a sweater pointing at the camera 
7530	a skier is attempting a turn in a patch of deep snow pack 
7531	three people are posing on the side of a mountain 
7532	guy in blue shirt biting hand of girl in black striped jacket while another guy watch
7533	four puppy sleeping on a blue blanket 
7534	a man wear a backpack 
7535	two people at the top of a beach side cliff 
7536	looking over the prow of a boat at another boat on a foggy lake 
7537	one girl wearing an orange tank top and black sunglass smiling at the camera next to another girl 
7538	the guy in gray pant is completing a jump on his skateboard 
7539	people fishing over white fence
7540	dog in jacket running through snow
7541	a man in a red shirt standing next to a woman in a black shirt with a car in the background 
7542	two men wearing white suit and sunglass are at a party punching their hand into the air 
7543	a little boy running  blurry picture 
7544	a man looking at his small white dog wearing an orange life jacket
7545	a man wearing a green shirt is skateboarding on a ramp beside a white fence 
7546	a bicycler is riding a bike at a racing event 
7547	a young man is flipping a skateboard during a trick 
7548	the blonde haired woman is holding a black umbrella 
7549	a young boy is leaping off a pier into the water  his leg thrust out 
7550	the girl in the pink hat is dragging a sled through the snow 
7551	three dog leaping up in the air a they compete in a race 
7552	a woman and young girl climbing a grassy hill 
7553	the larger dog is barking at the smaller dog 
7554	two young girl wearing goth clothes 
7555	a group of people hike through a snowy wooded area 
7556	small black dog biting on a person s finger 
7557	a model on a ladder in front of a rustic building 
7558	a man asleep at a desk in a library reading room 
7559	a young blonde girl with a pink shirt on jump high into the air while kicking her foot out and sticking her tongue out 
7560	the boy is riding on a toy truck 
7561	a man and a woman wearing mask embrace at an outdoor festival 
7562	a baseball player standing on the field
7563	a man on a bicycle  airborne 
7564	a young girl wearing black boot hold onto the fence and ha a lollipop 
7565	whoa  the cowboy is underneath the hoof of the brown horse and is getting stepped on 
7566	the leg of a child playing hopscotch 
7567	a man ride his blue bike high in the air over a park 
7568	a young man is climbing on a low tree branch in a park 
7569	a young girl is pointing at water on a beach 
7570	a man windsurfs with a group of other windsurfers 
7571	a man with a backpack sits on a fallen log by the river 
7572	black  brown and white dog crouch on three leg in the grass 
7573	two little girl are sitting on a yellow rubber ball toy 
7574	one girl about to blow on a streamer  while the other laugh 
7575	a young dark haired girl with her hand raised over her head 
7576	the basketball player in white is defending the basket against the player wearing blue 
7577	a child playing with a water hose while a woman record with a camcorder
7578	a group of dog in water playing with toy and ball 
7579	a crowd wearing red  cheer on the red football team 
7580	a boy in a black shirt is inside a structure with wooden ceiling beam 
7581	a dog running on green grass with it mouth open and tongue hanging out 
7582	a little girl dressed in a pink shirt  blue short and a pink hair ribbon feeding duck that are swimming in water 
7583	runner who are competing sprint down the street 
7584	someone in a yellow hat is sitting next to two fishing pole 
7585	a child smile and hang off a small train 
7586	a little boy is sitting on a wet path covered in mud 
7587	a man enjoying the view from top of a mountain
7588	a baby take a bath while grownup watch 
7589	two dog wrestle or hug 
7590	a skateboarder doing a trick on a handrail 
7591	kid playing in a tub of plastic ball 
7592	a man climbing a mountain 
7593	several people walking down the street wearing pink fluffy headband
7594	one man and two woman dressed in vampire costume
7595	a blond woman is guessing a brownhaired man on the cheek 
7596	a little girl carry a younger girl on the sidewalk 
7597	three men walking on a city street in front of a yellow bus and two fedex truck 
7598	a hiker pass a white rock formation in the middle of an empty desert 
7599	two men leap into the air 
7600	a beautiful white dog walking in the brown grass 
7601	the basketball player in white is jumping up to score a point against the orange team 
7602	a dog wearing a red hat open it mouth wide 
7603	a child in a red longsleeve shirt is pointing at the red tulip 
7604	several child are in a tree  laughing and with their hand on their chin 
7605	a dog is jumping through hoop held by people 
7606	four young puppy snuggling together in the middle of a blanket 
7607	a couple of people are riding atv s on a dirt track 
7608	a dog playing in water 
7609	a skateboarder fly off the stair 
7610	a man play an accordion 
7611	a police officer in a yellow vest directs traffic 
7612	a woman in purple snakeskin pant climb a rock 
7613	a crowd of people watching a snowboarder do trick 
7614	old man with a black coat and hat 
7615	a child in a blue shirt and orange swim trunk is underwater 
7616	a basketball player in blue is attempting to block a player in white during a game 
7617	a dog playing with it toy 
7618	a mountain biker is riding along a heavy dirt trail in a wooded area 
7619	three people in jacket at a rocky beach 
7620	a man carry a baby in a big city 
7621	people in matching outfit next to a canon 
7622	a black and a brown dog are fighting 
7623	a woman play guitar by a round light 
7624	a man with a baseball cap on backwards is holding a cup
7625	there are a lot of people on the roller coaster 
7626	a pale boy playing in a pit of blue ball 
7627	three player bring a team opponent to the ground 
7628	several people wading in the water at the bottom of a ravine 
7629	a runner with one green shoe and one white shoe run uphill 
7630	a yellow dog running through a grassy area carrying something small in it mouth 
7631	a black and white dog playing in the sand 
7632	a group of surfer in wetsuits are trying to catch a wave 
7633	a man wearing a white hat is on a red atv driving on the dirt 
7634	a woman in uggs  black tights and gray sweater walk next to a many in a blue sweat suit 
7635	a black dog leap out of the water 
7636	a brown dog is jumping on it hind leg 
7637	a bicyclist fly through the air a he encounter a tree in his path 
7638	a guy on rollerblade is grinding on a rail in a skate park 
7639	man wearing pas on a lanyard and standing in a crowd of people 
7640	a dog run on the beach near a city 
7641	a black and white dog jumping in the air surrounded by snow
7642	cowboy participate in a rodeo 
7643	a father and a child are playing in the pool
7644	a boy and a girl are standing on the edge of a lake at sunset 
7645	a woman is sitting at a table waiting to tell a customer s fortune 
7646	an older girl and a younger girl playing barefoot in a puddle
7647	a little girl get her picture taken while on the merrygoround 
7648	a dog stand shoulder deep in muddy water 
7649	a man in blue jean sits on a bench near a woman in green pant with a red and white bus behind them 
7650	a man jumping on the hard ground 
7651	two men and a dog are playing with a ball in front of the boat in the ocean 
7652	the man is performing a trick on a snowboard high in the air 
7653	two men kick at a soccer ball 
7654	a man with red pant is skiing downhill 
7655	the little girl in white is bouncing on a multicolored inflatable 
7656	a man in red lay on the sidewalk next to a red brick building 
7657	crowd waiting on main street subway platform for a train 
7658	a man sits on a bench on a san diego street 
7659	two child hang from a metal bar close to the ground 
7660	young girl with long  dark hair  in a tree 
7661	a cluster of four brown dog play in a field of brown grass 
7662	the male teenager is break dancing on the red and black tiled floor 
7663	the man wearing glass hold a baby wearing blue 
7664	a girl is dressed up and wearing a large broach with pearl 
7665	three little boy hold hand and jump into a pool together 
7666	one girl is taking a picture of another girl outside 
7667	a large black dog is playing in the ocean 
7668	two young girl drive an atv 
7669	a child feel like he s flying a his mom throw him up in the air during a game 
7670	a man in red trunk looking into a lake 
7671	the blonde girl is wearing a silver helmet  knee pad  and rollerblade 
7672	a group of people stand talking to each other  while one girl in the group hold a bicycle 
7673	a professional basketball player dribble the ball around the opposing player 
7674	a group of people walking in a scrubland  a mountain in the background 
7675	two people in a canoe float past a rocky  wooded cliff 
7676	a child is riding a unicycle along a riverside path next to a woman who is walking a dog 
7677	a man in a black shirt and his little girl wearing orange are sharing a treat 
7678	the woman in the white sweater is painting a tattoo on the teenager s hand 
7679	a choir in red uniform singing in front of a business 
7680	a dog jump of a surfboard
7681	a brown and white dog jumping over a red  yellow and white pole
7682	a football team in blue uniform run out of a smoke cloud 
7683	people are waiting outside a lawn and garden seller 
7684	a blue motorcycle is being driven on a racetrack 
7685	a theater worker change the marquee outside a community theater 
7686	a tennis player in white get ready to hit the ball 
7687	a person ski down a steep snowy hill 
7688	one dog is jumping up at another dog by a fence on a snowy day 
7689	a boy wearing a red shirt jump off the blue slide 
7690	a dog jump high  with it mouth open 
7691	a group of boy in a desert playing with a ball 
7692	boy with a painted face is walking around a track 
7693	a young girl with a flower on her shirt ride a skateboard while a young boy wrap something around her 
7694	one child is walking ahead of the other 
7695	a boy wearing a helmet on a bicycle in a wooded area 
7696	a young boy wave his hand at the duck in the water surrounded by a green park 
7697	a girl wearing a life vest float in water 
7698	a man kayak in rough water 
7699	a white dog wearing a leash laying down and chewing on the end of a stick 
7700	a child is in colorful  native clothing 
7701	the boy is diving into the pool a the couple watch 
7702	a group of kid and two adult stand before a graffiti wall 
7703	two dog chase down a mowed grass field 
7704	softball pitcher pitching
7705	a small bird sits in a person s hand and eats seed 
7706	a young man skateboard at night by a fence 
7707	a white dog jump into a pool 
7708	two people pretending to be in the water next to a door with fish cutout 
7709	two people having a picnic by a lake 
7710	a skateboarder is airborne in a city green space 
7711	a man with a tennis racket go for the ball 
7712	a military guard is wearing a ceremonial gold helmet and is holding a sword 
7713	a man is riding his bicycle down the sidewalk 
7714	a couple standing outside a street
7715	a man is riding a bull at a rodeo setting with a small crowd watching 
7716	a child in a green and white sport uniform is running over grass 
7717	a man is dressed in denim and is smiling off camera 
7718	a boy with a toy gun 
7719	a man in a blue suit read the paper while smoking next to a marble building 
7720	a soccer player in blue  run 
7721	a boy walk in a meadow near some tree 
7722	an old jeep partially submerged in water
7723	two men are wearing black hat and carrying bagpipe 
7724	a blonde girl pose for a picture at kerry park in seattle 
7725	two girl play in the shower with their clothes on 
7726	two young girl with dyed hair talk to two boy in black 
7727	a big tan dog run on grass with a big stick in his mouth 
7728	a small dog leaping  but not very high 
7729	a girl and boy are playing with bucket of water in the garden overlooking a lake 
7730	a young boy with a dinosaur shirt on run at a playground 
7731	a young boy in a blue and white uniform is up to bat at a baseball game 
7732	person wearing a helmet on a four wheeled bike in air
7733	dog running towards camera with a ball in it mouth 
7734	the black dog is standing on the grass at night 
7735	a dog laying on the ground look up at the dog standing over him 
7736	three adult and a toddler stand on a snowy path 
7737	one marine flip another one down 
7738	three child play in a large bowl shaped swing 
7739	a damaged vehicle is carried by a repair truck in a nighttime scene 
7740	three child playing in a fountain 
7741	a teenager wearing striped short and no shirt is skateboarding down a road a long the ocean 
7742	a man belaying down a waterfall
7743	a brown and white dog on a road with it mouth open near a tennis ball
7744	the child is wearing a blue hat and green jacket while walking through snow 
7745	a greyhound with a red shirt and blue muzzle on running a race 
7746	two people trudge through the water with their raft 
7747	the men are getting their kayak secured on the beach for the night 
7748	a man in a flowered shirt hold a microphone beside a violin player standing in a crowd of people 
7749	black dog running very fast 
7750	a seagull land on the water 
7751	three people and a sled 
7752	a group of white bird take flight while one black bird stand on the sand 
7753	a person in uniform is standing in front of a toll bridge 
7754	a girl hang upside down on a swing set at a park 
7755	many people walk in the street 
7756	the man is wearing safety gear while he is training the black dog 
7757	a woman wearing white jump up to hit the ball during a tennis match 
7758	some chicken  dog  and a turkey are trying to get some food out of a white bucket 
7759	a man wearing a yellow coat stand at the peak of a mountain 
7760	a man in a beige trench coat is walking in the rain 
7761	martial artist are sparring against one another 
7762	a group of people sitting in a grassy area under a pink and white blossoming tree 
7763	a woman with long hair is catching a softball in a softball field 
7764	many people are watching street performer dancing 
7765	a man and young girl and standing under a large redwood tree 
7766	two dog run through the snow 
7767	a baby crawl on asphalt against a blue sky 
7768	a woman in a bathing suit pose with two little girl 
7769	young man with red stain on face  with two woman  posing in black clothing 
7770	the man stand close to the train at the busy train station 
7771	three young boy dressed in an orange and navy shirt are smiling and doing sign with their finger 
7772	a child turning a crank with bench behind him 
7773	a orange kitten biting the nose of a child 
7774	a woman in a head wrap is standing behind a tree and some beautiful white flower 
7775	a blonde child riding a tire swing 
7776	the surfer is wearing a black body suit while picking up her board 
7777	a boy stand on a rail with his arm outstretched 
7778	a man on the street holding a sign while holding a small tan dog on a lease 
7779	a little boy dressed a a pirate is holding up the skull pirate flag 
7780	the snowboarder gaze into the distance at some mountain 
7781	the woman is flashing a peace sign 
7782	a brown and black dog run on the grass outdoors in front of a sidewalk 
7783	a skateboarder doing a trick off a quarter pipe 
7784	two young child play with colored ball 
7785	two men at the beach twirl stick with fire at the end 
7786	two child bounce on a trampoline 
7787	a white dog standing on leaf on the ground 
7788	a brown  wet dog shaking off the water 
7789	a man take a picture of a girl with a patriotic outfit 
7790	girl playing in a sand playground 
7791	a large explosion occured near a red car at a gas station 
7792	a young child riding on a plastic yellow car
7793	orange dog jump over striped post on course 
7794	two samoyads play in the snow 
7795	a young girl in a white hat with an older woman in a tan hat 
7796	a girl with dyed red hair wearing striped clothing talking on a cellphone 
7797	two men in suit  one wearing a silver medal  stand in front of a blue bus 
7798	a black dog is running through a swampy area with tall reed 
7799	two men  both wearing helmet  on skateboard with large wheel 
7800	people gather in front of building for speech
7801	two men are performing on a sidewalk a a crowd watch
7802	two woman sitting on a bench by the water 
7803	a child paint with different color using brush 
7804	a man in a white hardhat is standing in front of a green truck 
7805	three people sit and talk about the menu at a chinese restaurant 
7806	a teenager in striped short is leaping into the air on the beach 
7807	three big tree and the back side of a girl in bikini 
7808	a skier on a high mountain slope 
7809	a man wearing a blue shirt smoking a cigarette in front of a building
7810	one young girl dressed in red polka dot outfit play with toy 
7811	a boy in a soccer uniform running in a field during a game 
7812	people are hanging out in an art gallery 
7813	woman on four way seesaw with 2 kid 
7814	a security guard standing beside a bright orange advertisement 
7815	a woman in a green jacket press the do not walk button so she can cross the road 
7816	an older man stand outside a old boarded up building 
7817	a boy is dressed a freddy krueger 
7818	a man is standing on an animal in the water 
7819	an elderly woman sits in a chair and wear a winter hat and coat 
7820	a small brown dog stand on a driveway near wooden pole with his tongue sticking out 
7821	two men are standing together while one look through binoculars 
7822	a woman is sitting with a girl on a fence in front of a waterfall 
7823	a male in grey pant with a blue shirt and backpack walking down a sidewalk in a neighborhood 
7824	a young girl waring pink short run through grass 
7825	a toddler eats dirt 
7826	people are sitting on step along the water and fishing 
7827	surfer with board march out to sea on gray day 
7828	a boy doe a cannonball into a pool while a girl watch 
7829	white haired man in gray sweater and a straw hat sitting on a bench under a tree 
7830	a girl in a purple shirt feeding duck
7831	a little girl in a pink bathing suit laugh by a pool 
7832	basketball player in white uniform leaping to make a shot while being blocked by player in black 
7833	man walking toward his car on an icy sidewalk in the city 
7834	a backpacker walk down a rocky mountain 
7835	a man holding a microphone up for a woman 
7836	a boy hold a picture over his head 
7837	a man with a camera aimed at a singer in a green jacket 
7838	a girl with a pink headband and blue shirt is drumming on blue plastic and metal bowl with chopstick 
7839	a young man with a mohawk style haircut and surfer short stand on a boogie board at the beach 
7840	a mountain biker jump a rock on a mountain 
7841	a man in short ski down a hill 
7842	a child with blue eye sitting amid flower 
7843	a black standard poodle running through the snow in a fencedin yard 
7844	the man ha his arm around the woman in a flower market 
7845	a profile of a young person with a punk hairstyle and pierced ear and nose in a cowboy shirt 
7846	a woman take a picture of a man on the edge of a cliff 
7847	a boy surf on a yellow board across the bright blue wave 
7848	a group of young middle eastern kid posing for the picture
7849	a man play a blue guitar on the an empty urban street 
7850	two young child playing with stick at the beach 
7851	a man wear an interesting blue wig in public
7852	a large crowd of people ice skating 
7853	a climber with a backpack accends a snow covered mountain 
7854	several people swim in a body of water 
7855	a white dog wearing reindeer ear is next to a brown dog 
7856	a bunch of child sitting in chair and standing on wooden floor 
7857	a man dressed a jack sparrow from pirate of the caribbean
7858	three woman dance down the city street 
7859	two dog play in tall grass 
7860	the gymnast is wearing a red outfit and jumping 
7861	a man in a white athletic suit is throwing a ball in a cricket game 
7862	three dog run through a soggy field 
7863	a skateboarder is riding a skateboard along a metal railing in front of a concrete building 
7864	a man partially silhouetted on top of a large rock 
7865	two dog are wading in a river 
7866	white dog with a muzzle running in the grass 
7867	a flock of bird flying past a chinese mural on a building 
7868	a dog digging in the sand 
7869	little girl in pink bathing suit jumping through a sprinkler toy outside 
7870	a view from the top of a skateboarder at the top of a ramp 
7871	a child throwing an orange toy 
7872	a woman lead three little boy in soccer uniform 
7873	three people are walking in a park with flower 
7874	a football player is running with the ball 
7875	woman in hat and sunglass smile 
7876	adult in winter jacket and hat swing broom at a little yellow ball while a black dog look on 
7877	a black dog jumping over a yellow pole in an obstacle course
7878	some middle eastern people have set an israeli flag on fire 
7879	a young girl with a heart tank top raise her hand a she slide 
7880	a woman walking with a sheltie through a competition obstacle course 
7881	the truck driver pause for a photo opportunity 
7882	a man doe trick on his skateboard off a ramp 
7883	two child are dressed up like character in michael jackson s  thriller  video 
7884	a young boy sits at a picnic table and drink out of a small cup 
7885	a bearded man wearing a bandanna is pointing his finger whilst riding a bicycle 
7886	a girl in a pink jacket is going headfirst down a red slide 
7887	a person wearing a grey jacket and sunglass pose for the camera 
7888	a young girl practicing rock climbing on an indoor wall 
7889	the snowboarder is wearing a red jacket and black helmet 
7890	a baseball player stand and face the crowd 
7891	dog on grass  running for red ball 
7892	the basketball player in red is challenging the player in white for the ball 
7893	a person with a blue blanket on his head sits on a metal bench in an urban neighborhood 
7894	a surfer is on a wave 
7895	boy skateboarding on residential street  falling farward with hand on the ground 
7896	a crowd gather behind an older man 
7897	a cyclist is airborne over a jump in a public skate and bike park 
7898	a person with a helmet and google on is riding a motorcycle in the dirt 
7899	a little brunette girl sprinking confetti on a brunette woman s head a she smile 
7900	a small baby sits on a bed and smile 
7901	a shirtless woman with paint on her face and mud on her body 
7902	dog running away from woman on the seashore 
7903	a man on top of a mountain look at the mountain surrounding him 
7904	a man and woman walking next to a red car with an unusual hood ornament 
7905	a man and a dog are playing tug of war 
7906	a man in camouflage hiking gear  wearing a green pouch is standing in the foothill 
7907	a woman in a green sport outfit is attempting to hit a tennis ball with a racket 
7908	big dog trying to bite little dog
7909	a man and a young boy sitting down
7910	this large black and white dog is running on the sand 
7911	a dog swim through the water while holding a stick in it mouth 
7912	dog on a leash looking over a stone wall
7913	the woman in the yellow jacket is riding on snow skate 
7914	two older woman smiling and standing in front of large tree  one woman is fixing her hair 
7915	a snowboarder flying off a snow drift with a colorful sky in the background 
7916	an asian boy eats with chopstick 
7917	a team of baseball player in blue uniform  walking together on field 
7918	two boy stand in the surf 
7919	the man sits with his dog on a bench in a park 
7920	many bird sit on a ledge 
7921	two woman point to a silver object and take a picture of it 
7922	a girl dancing onstage 
7923	tourist examine a sign 
7924	three dog are on a cobblestone road 
7925	a man wearing a hat and scarf stand in a crowd 
7926	the young boy in red jumpos in the puddle 
7927	a man and a woman are wearing bicycle helmet  and are having a conversation 
7928	a girl in an aqua jacket walk down a long road surrounded by shrub 
7929	a surfer in a black wetsuit ride a wave 
7930	a small light tan dog is running past a large brown dog standing in the grass 
7931	two child jump off the dock into the lake 
7932	firefighter us water to extinguish a car that wa on fire 
7933	two men and woman posing together 
7934	a child in a blue and white team uniform chasing a soccer ball 
7935	a little girl walk on a boardwalk with blue dome in the background 
7936	football player are tackling a football player carrying the football 
7937	a young boy in a team sweatshirt is in a sport stadium near blue seat swinging a red bat 
7938	a boy in brown short is dancing with a girl wearing a green hood in a wooden floored room whilst other child look on 
7939	a black dog is chasing another dog along the beach 
7940	a boy skateboarding in an urban area
7941	someone is laying in front of the tv eating food 
7942	two guy playing ball and making face 
7943	a man ride a unicycle 
7944	an old man sitting in a chair  reading a book 
7945	a young female firefighter stand in front of a crowd 
7946	a black and grey dog run in a field with it tongue hanging out 
7947	a girl sitting on top of a crocodile
7948	two boy with apple leap over a barrier in the street 
7949	a brown dog is playing ball in a yard 
7950	a person is standing at the top of a rocky cliff overlooking land 
7951	a girl in green walk down a city street 
7952	a person hike down a snowy mountain 
7953	a little blonde girl is sitting on a green chair 
7954	a brown dog wearing a red collar diving into snow 
7955	man holding a stick while a dog jump up to grab it
7956	two kid and a man are walking by a poorly put together shack 
7957	the little girl wearing a red shirt is walking through the grass 
7958	an oriental man and woman are sitting in a subway train 
7959	the surfer wearing the blue suit on the colorful surfboard is catching a wave 
7960	two men play lacrosse or field hockey 
7961	the dog is in the water looking back 
7962	a brown dog  on a rocky ground  shake off water from it body 
7963	a bunch of child in white are doing a dance routine while another person jump rope 
7964	a dog run outside 
7965	a brown dog chase another brown dog who ha a green ball 
7966	the large brown and white dog splash on the shore 
7967	childern are playing on a merry go round a adult on a bench watch them 
7968	a man on the street 
7969	a little boy playing in the water 
7970	dog and owner sitting on lawn 
7971	a black horse with a white nose is running in some sand with a fence around it 
7972	a muzzled greyhound dog running around a track
7973	two child run towards the lagoon 
7974	a young girl with blond hair and blue eye is eating a cookie with one hand while holding another cookie in the other 
7975	a dog in a harness chasing a red ball 
7976	a man sitting on a curb in a city park 
7977	a woman dressed in green is rollerskating outside at an event 
7978	a young boy smiling with people looking in his direction and a bottle to his left
7979	a girl in pink flip flop and pant playing tennis 
7980	a brown dog running through the water 
7981	two people pose for a picure holding a card that say  know what this is  
7982	a man in a jacket look out 
7983	a group of people sitting at a sporting event 
7984	a woman in a fur hat and fur coat stand outside a building 
7985	a dog running across a field with a ball in it mouth 
7986	a small dog leap in the water 
7987	a man in a blue bodysuit surfing 
7988	a woman rock climber scale a cliff far above pasture 
7989	two gray puppy are chewing on a plastic red toy 
7990	the white and brown dog run across the grass 
7991	a skateboarder skate on a white wall near the street 
7992	a cat swatting at a doberman dog
7993	two young boy dressed in formal clothes fight while sitting on a red carpeted step 
7994	three girl fell on top of one another and are laughing histerically 
7995	many people walking together on pavement near a brick building with other people looking on 
7996	woman sitting on a red couch inside the house 
7997	a crowd at a rally 
7998	a boy in a grey and white shirt looking at his reflection 
7999	three girl are riding a ride with shoulder harness a the girl in green pose 
8000	two big black dog play with each other in the grass 
8001	a boy jump high indoors while a woman sleep on a nearby couch 
8002	two dog wrestling 
8003	the young man with the water gun is shooting water into the white dog mouth 
8004	a person us a rope swing over the water 
8005	a man jump from one boulder to another and two men try to catch him a he barely make it 
8006	a policeman on a horse surrounded by onlooker 
8007	a black dog is running through some water 
8008	a black and white dog walking in shallow water
8009	a girl in waterwear ha skipped a stone off an enclosed body of water 
8010	a little girl with a white shirt and brown hair is swinging almost completely upside down in a park 
8011	a young woman and her daughter play with a blue and white beach ball in the grass 
8012	a football player in a brown jersey jumping up to catch a football
8013	a young woman cross a bridge through a field of tall grass 
8014	a man doe skateboard trick off a ramp while others watch 
8015	kayaker is in rough water 
8016	a hiker put his foot in a stream while wearing brown shoe 
8017	a large black and white dog run in the ocean water
8018	two dog play with a frisbee 
8019	boy huddle during a soccer game 
8020	six spectator watching a dirt racing car pas by in a cloud of dust 
8021	a man wearing glass and a blazer stand in front of a billboard sign 
8022	there is a horse and rider jumping over a hurdle 
8023	black and white dog running carrying red bucket in mouth 
8024	a baby in a life jacket on a raft 
8025	a white dog jump to catch a blue ball in a living room 
8026	a young child plow snow manually 
8027	man kiss cry baby at a marathon 
8028	a man sits on a step with two duffel bag and a plastic bag by his side 
8029	black and white dog in living room standing on hind leg 
8030	five male playing field hockey with man in white shirt on blue short on the ground 
8031	a little girl in pink watch a young boy drink out of a bottle on a crowded street 
8032	little boy in plaid shirt blow bubble outdoors 
8033	a black and white dog is sliding down a sandy hill 
8034	the girl is leaping into the lake 
8035	a group of people gather in front of a red house 
8036	a dog chase another dog 
8037	the large brown dog is running through shallow water 
8038	a girl in a pink shirt is riding a bicycle in traffic 
8039	a man riding a unicycle down a paved road
8040	two girl facing each other one ha a skull face bag wearing a red and black shirt  the other is wearing a beaded belt 
8041	a swimmer swimming butterfly in a pool
8042	a boy wearing a white shirt climb on a forest hill 
8043	a snowboarder is leaping of a wooden platform 
8044	a woman and three kid play at a park 
8045	a man is falling into wave 
8046	two men in black uniform talking to a man holding a bottle of soda 
8047	three people wearing winter clothes standing on the sidewalk near a street
8048	two men in a small boat rowing down a river 
8049	a partly cloudy day at the beach with people standing around and a building on the right 
8050	a fan sitting on someone s shoulder is waving to a woman on a stage that say amnesty international 
8051	a man and a woman laugh together by a white door 
8052	a black and yellow bird is eating a worm while resting on the grassy ground 
8053	a woman hold a child dressed in blue 
8054	the little boy is wearing red short and a white tshirt and ha his head resting on a baseball bat 
8055	a squirrel jump in the snow 
8056	two woman sit on a park bench 
8057	racing greyhound leave the starting gate 
8058	a group of people working together with a starshaped looking metal frame 
8059	a crowd watch the start of a drag race at twilight 
8060	a woman on horseback  riding on the beach 
8061	a lone person walking in the distance on a long beach 
8062	a person in brown and two older car in front of a white building 
8063	two people read a sign in front of a museum 
8064	an asian woman is taking a photograph outside a white columned building 
8065	a boy on a bike is doing a stunt high in the air 
8066	child playing with a hula hoop on a cement driveway in housing alotment 
8067	a toddler wearing colorful short is standing in the water 
8068	two brown dog play in shallow water
8069	a guy jump to make a basketball shot 
8070	a horse jump over a wooden fence 
8071	a person is riding a bike in a wooded area at night 
8072	a guy skateboarding on a basketball court
8073	a boy in an orange shirt grind a skateboard ramp 
8074	a man jump off a rock into the water
8075	the setting sun outline a group of four people and the surrounding tree 
8076	a small dog jumping an obstacle in a grassy field 
8077	a man sitting on an empty train
8078	man on bench sleeping under umbrella for shade
8079	a man with no shirt is climbing a rock ledge 
8080	a boy wearing a blue tshirt is jumping up in the air on a city street 
8081	a young boy in jean show off his dance move on a red dance floor 
8082	a young boy sits by the beach 
8083	a child is posing with toy piece placed over their mouth and eye 
8084	two large black dog are playing in a grassy field 
8085	three people in skiing gear are standing behind a  no skiing  sign 
8086	a black and white dog with a blue toy in it mouth run on a grassy surface just beyond a fence 
8087	a dalmation run along a beach 
8088	a woman is sitting on a bench while talking to a shirtless man 
8089	black dog in a snowy field 
8090	a kayaker in a red kayak paddle a an orange kayak approach from behind 
8091	three people at asian tattoo parlor 
8092	football player in the middle of a play 
8093	a bald headed man in black balance his skateboard on a cement wall and his shadow follows 
8094	a group of little girl perform a recital onstage dressed in all white 
